State,Nitrogen,Phosphorous ,Potassium ,Temperature,Humidity,pH,Crop
Gujarat,36,24,41,24.94467632,94.25702672,7.009180374,Anar
Gujarat,40,29,42,24.63228709,89.01574455,7.104094929,Anar
Gujarat,0,17,42,23.20242586,91.19442671,6.859840821,Anar
Gujarat,6,18,37,19.65690085,89.93701023,5.937649578,Anar
Gujarat,32,13,42,23.50128217,92.97527546,5.786058032,Anar
Gujarat,9,16,39,18.41164435,91.11927248,6.101198974,Anar
Gujarat,13,7,43,18.20230419,91.12282162,7.013481515,Anar
Gujarat,40,30,35,20.89273273,91.07776977,6.269663963,Anar
Gujarat,34,9,36,22.8122645,86.34233767,6.276038961,Anar
Gujarat,0,5,36,24.35193812,90.88612388,6.152906502,Anar
Gujarat,31,11,45,24.83954414,86.88738076,6.034612928,Anar
Gujarat,13,17,45,21.25433607,92.65058936,7.159520979,Anar
Gujarat,39,17,45,18.09691127,90.42177379,6.924490731,Anar
Gujarat,32,25,35,18.09903225,85.70786282,5.892913826,Anar
Gujarat,12,20,39,19.86173586,86.19740917,6.026999326,Anar
Gujarat,31,25,38,24.96273236,92.40501423,6.497366677,Anar
Gujarat,7,23,35,19.75088482,88.71691157,7.054313823,Anar
Gujarat,37,18,39,24.1469628,94.5110662,6.424670614,Anar
Gujarat,39,24,39,23.65374106,93.32657504,6.431265737,Anar
Gujarat,8,23,44,18.47412402,89.68919664,7.130837931,Anar
Gujarat,14,25,40,20.07386547,90.97819712,6.407872061,Anar
Gujarat,25,27,41,19.20090378,94.27659596,6.923509371,Anar
Gujarat,18,27,41,22.36509395,92.30882391,7.175344328,Anar
Gujarat,39,30,38,20.12644921,87.59629625,6.965156738,Anar
Gujarat,2,21,44,18.92157197,87.31290342,6.56893406,Anar
Gujarat,39,25,36,18.90223032,94.99897537,5.567805185,Anar
Haryana,27,24,41,24.32770134,90.88292835,6.610251186,Anar
Haryana,20,7,45,18.90592319,89.24126808,6.077886012,Anar
Haryana,8,25,36,19.91330523,94.95031368,6.828522375,Anar
Haryana,12,29,40,19.68291173,89.75272999,6.594037135,Anar
Haryana,22,26,38,22.92052307,85.12912161,6.988035315,Anar
Haryana,4,24,43,22.40423537,88.1508343,7.199504273,Anar
Haryana,13,30,37,20.86474944,91.61793636,6.277148771,Anar
Haryana,23,30,44,20.93892916,85.42912869,6.12476108,Anar
Haryana,8,26,36,18.78359608,87.4024767,6.804781106,Anar
Haryana,34,21,42,18.75927679,89.93457597,6.648687274,Anar
Haryana,4,14,41,19.85139326,89.80732335,6.430163481,Anar
Haryana,3,26,39,24.38318965,91.19431555,7.079973241,Anar
Haryana,30,20,38,22.59890174,93.16343942,7.058222596,Anar
Haryana,14,8,43,21.92513945,94.46485312,7.051654924,Anar
Haryana,38,21,35,20.33691147,89.38003827,5.841367187,Anar
Haryana,40,18,43,19.38603815,86.79058496,5.767372539,Anar
Haryana,11,18,42,21.57936934,94.88267728,5.938528744,Anar
Haryana,32,14,37,22.73031253,88.48567856,6.825256236,Anar
Haryana,10,5,42,20.24104904,91.08706822,6.887005997,Anar
Karnataka,5,29,44,21.02432943,93.0569505,5.578095745,Anar
Karnataka,18,21,35,23.2801227,94.94330457,6.368560522,Anar
Karnataka,9,16,36,23.77989026,92.93386903,5.893332378,Anar
Karnataka,25,17,40,18.91251245,87.74938524,6.608023872,Anar
Karnataka,24,21,42,20.82210727,87.22815682,6.999014379,Anar
Punjab,37,11,36,24.24779615,85.56033312,6.710143266,Anar
Punjab,5,24,40,24.692258,93.87030088,6.297907579,Anar
Punjab,16,10,41,24.77464458,85.63608688,6.738993954,Anar
Punjab,29,22,43,19.66329768,87.95158129,5.561851831,Anar
Punjab,21,23,42,19.54128063,90.29751796,6.902751061,Anar
Punjab,17,18,43,24.4880844,90.83687246,5.843005428,Anar
Punjab,18,23,44,23.71028128,89.61794165,6.184400085,Anar
Punjab,21,21,38,22.5526059,89.3259486,6.327673765,Anar
Punjab,6,30,40,22.77035608,91.45498527,6.36137446,Anar
Punjab,0,27,38,22.44581266,89.90147027,6.738016221,Anar
Rajasthan,40,9,41,24.37766782,85.4017118,5.78270695,Anar
Rajasthan,36,7,37,19.8671184,86.35590206,5.782435567,Anar
Rajasthan,22,23,44,20.13037175,89.31505137,6.143874691,Anar
Rajasthan,29,16,36,19.81069447,88.92944254,5.740338002,Anar
Telangana,21,6,41,24.88244467,89.39686219,7.086947687,Anar
Telangana,4,20,41,24.26601316,93.7974061,6.537042717,Anar
Telangana,4,19,42,23.83185873,87.84034604,6.306605528,Anar
Telangana,29,22,40,23.62600218,89.73266695,6.145104401,Anar
Telangana,9,8,40,22.48720144,89.9224883,6.553509673,Anar
Telangana,5,15,38,18.26233221,88.16779129,5.709380472,Anar
Telangana,2,24,38,24.55981624,91.63536236,5.922935513,Anar
Telangana,1,27,36,23.98598756,93.34236582,5.684995235,Anar
Telangana,38,14,37,21.80523051,94.63612858,6.658402594,Anar
Telangana,5,13,37,22.34375696,89.7870345,5.648243649,Anar
Uttar Pradesh,3,27,44,24.56811204,92.03009222,6.591302797,Anar
Uttar Pradesh,15,11,38,23.12808226,92.68328358,6.630646083,Anar
Uttar Pradesh,26,18,42,19.72620525,89.64934166,6.910374919,Anar
Uttar Pradesh,22,9,44,24.72235539,88.87651295,5.744361602,Anar
Uttar Pradesh,3,9,45,23.89162561,89.61850203,6.535244251,Anar
Uttar Pradesh,20,27,41,20.51343484,92.51675903,5.700088663,Anar
Uttar Pradesh,29,21,45,23.40981539,93.13277,6.749260456,Anar
Uttar Pradesh,8,28,37,23.88404783,86.20613842,6.082571701,Anar
Uttar Pradesh,11,10,45,22.63045168,88.45577158,6.397995609,Anar
Uttar Pradesh,9,25,41,24.81530144,91.90842992,5.972714857,Anar
Uttar Pradesh,8,28,38,23.22594,94.42971362,6.8444019,Anar
Uttar Pradesh,8,23,38,19.30106297,87.1775172,7.005410734,Anar
Uttar Pradesh,19,17,39,24.72485577,85.56083187,6.728599215,Anar
Uttar Pradesh,14,5,36,24.92639065,85.19098079,5.832525853,Anar
Uttar Pradesh,40,11,44,24.45840036,86.10874614,6.322396027,Anar
Uttar Pradesh,28,6,40,22.10621387,91.34039616,6.769855664,Anar
Uttar Pradesh,21,9,40,24.51147697,90.64498715,5.956401828,Anar
Uttar Pradesh,4,18,37,22.91843172,85.40695044,7.13147457,Anar
Uttar Pradesh,4,19,43,18.07132963,93.14554876,5.779427402,Anar
Uttar Pradesh,5,21,38,22.43377991,90.3396556,6.107054808,Anar
Uttar Pradesh,18,9,40,19.44623085,89.02127045,5.627186257,Anar
Uttar Pradesh,15,6,41,19.0087067,88.83768149,6.897368477,Anar
Uttar Pradesh,23,5,44,21.20725375,94.26304717,7.16300467,Anar
Uttar Pradesh,40,27,45,21.6602498,94.79397419,5.885638185,Anar
Uttar Pradesh,33,23,45,20.00218987,85.83618191,7.116538883,Anar
Uttar Pradesh,16,15,42,19.67832052,89.08935702,6.890784045,Anar
Himachal Pradesh,35,145,195,22.03911546,94.58075845,6.231950009,Apple
Himachal Pradesh,13,144,197,22.9215706,94.89613443,6.28022267,Apple
Himachal Pradesh,13,126,204,23.1094265,92.79630809,6.383180271,Apple
Himachal Pradesh,18,125,204,22.35548159,94.47811755,6.046673619,Apple
Himachal Pradesh,10,136,204,21.19852186,92.15595143,6.276198595,Apple
Himachal Pradesh,16,143,204,23.71475278,91.53331177,5.631333387,Apple
Himachal Pradesh,9,143,197,23.75033085,92.88160462,5.570020684,Apple
Himachal Pradesh,37,137,199,22.63946441,90.18451645,5.697945522,Apple
Himachal Pradesh,37,126,196,23.59997268,90.97597665,5.596449493,Apple
Himachal Pradesh,32,141,203,21.25941052,92.84416234,5.821347769,Apple
Himachal Pradesh,12,129,205,22.36238282,91.15761594,6.119432215,Apple
Himachal Pradesh,25,143,200,23.80436344,92.80441624,6.024248787,Apple
Himachal Pradesh,29,140,195,23.64082979,90.95257927,5.560521058,Apple
Himachal Pradesh,29,121,196,22.84852833,94.32130209,6.079497202,Apple
Himachal Pradesh,29,138,197,22.19055385,92.43764169,5.830892252,Apple
Jammu and Kashmir,7,144,197,23.8494014,94.34814995,6.133220586,Apple
Jammu and Kashmir,2,131,199,22.47420512,91.22759742,6.017370134,Apple
Jammu and Kashmir,27,120,200,21.45278675,90.74531921,6.110218826,Apple
Jammu and Kashmir,28,136,200,23.06204373,92.39544055,6.245858905,Apple
Jammu and Kashmir,0,145,205,21.22503442,90.09877774,5.52078314,Apple
Jammu and Kashmir,35,128,205,21.07273439,93.56585985,6.041053829,Apple
Assam,24,142,202,22.53779727,91.48135786,5.710819862,Apple
Assam,36,140,198,23.34386401,91.47684705,6.28188384,Apple
Assam,19,122,202,23.34467359,90.37981478,5.811975094,Apple
Assam,26,126,195,21.41363812,92.99124545,5.878568981,Apple
Assam,38,135,203,23.76121837,93.661643,5.965551311,Apple
Assam,35,142,203,21.17089176,90.23730166,5.895319002,Apple
Punjab,40,144,196,22.71750705,92.25479855,5.987262638,Apple
Punjab,31,130,198,21.80129837,92.73446667,5.554823557,Apple
Punjab,10,125,196,22.31253665,90.03577124,5.730557448,Apple
Punjab,26,122,202,22.44516988,94.73763514,5.617227184,Apple
Punjab,35,138,200,21.19909519,90.80819418,5.67130617,Apple
Punjab,29,128,198,22.44075021,92.70785115,5.685062404,Apple
